Story Title (Hindi),Complete Story Text (Hindi)
द्रौपदी की रक्षा,"जुए में पांडव हार चुके थे। द्रौपदी को दांव पर लगाया गया था — और हारे थे। दुर्योधन ने आदेश दिया — द्रौपदी को भरी सभा में खींचकर लाओ। दुशासन ने उनके केश थामे और उन्हें घसीटता हुआ सभा में लाया। यह अपमान से भी बड़ा कुछ था।

द्रौपदी ने सभा में पुकारा — ""क्या कोई मेरी रक्षा करेगा? पितामह? आचार्य?"" कोई नहीं उठा। तब दुशासन ने उनकी साड़ी खींचनी शुरू की। द्रौपदी के हाथ साड़ी पकड़े थे — दोनों हाथों से। उन्होंने पुकारा — ""हे गोविंद! हे द्वारकानाथ!""

द्वारका में कृष्ण किसी कार्य में थे। अचानक रुके — जैसे किसी ने पुकारा। आँखें बंद कीं। फिर मुस्कुराए। हज़ारों मील दूर, कुरुक्षेत्र की सभा में — साड़ी बढ़ती रही। दुशासन खींचता रहा। पर अब साड़ी का कोई अंत नहीं था।

दुशासन थककर गिर पड़ा। वस्त्र का अंत नहीं आया। सभा स्तब्ध थी। द्रौपदी की साड़ी के पहाड़ से दुशासन दब गया। तब द्रौपदी ने आँखें खोलीं। उनके नेत्रों में आँसू थे — पर वे धर्म के आँसू थे, पराजय के नहीं। उन्होंने प्रण किया — ""जब तक दुशासन के रक्त से मेरे केश न धुलें, मैं इन्हें नहीं बाँधूँगी।""

यह कथा सिखाती है — जब मनुष्य की सारी शक्ति समाप्त हो जाए, तब यदि हम दोनों हाथ उठाकर ईश्वर को पुकारें — वे अवश्य आते हैं। द्रौपदी की रक्षा इसलिए नहीं हुई कि वे राजकुमारी थीं। इसलिए हुई क्योंकि उन्होंने स्वयं को पूरी तरह समर्पित कर दिया।

द्रौपदी ने जब पूरे मन से पुकारा — ""हे केशव!"" — तब वस्त्र का सिलसिला शुरू हुआ। दुःशासन थका, वस्त्र का अंत न आया। सभा स्तब्ध थी। भीष्म, द्रोण, कर्ण — सब बैठे रहे। इतिहास में यह वह क्षण था जब न्याय की परीक्षा हुई — और मनुष्य असफल रहे। केवल भगवान उत्तीर्ण हुए।

द्रौपदी ने कसम खाई — जब तक दुःशासन का रक्त उसके केशों में न लगे, वह अपने बाल न बाँधेगी। यह प्रतिज्ञा महाभारत युद्ध की नींव बनी। पर इस कथा का सबसे बड़ा सबक यही है: जब भी हम पूर्ण समर्पण के साथ कृष्ण को पुकारते हैं — वे आते हैं। अदृश्य रूप में, पर निश्चित रूप में।"
कृष्ण-सुदामा की मित्रता,"सुदामा एक गरीब ब्राह्मण थे — कृष्ण के बचपन के मित्र, गुरु संदीपनी के आश्रम के साथी। वर्षों बीत गए। कृष्ण द्वारका के राजा बन गए। सुदामा अपनी झोपड़ी में पत्नी और बच्चों के साथ निर्धनता में जी रहे थे। एक दिन पत्नी ने कहा — ""कृष्ण तुम्हारे मित्र हैं — एक बार मिलने जाओ।""

सुदामा के मन में संकोच था — ""मैं एक राजा के पास कैसे जाऊँ? और खाली हाथ?"" पत्नी ने पड़ोसियों से माँगकर थोड़े से चावल के पोहे बाँधे — ""यही ले जाओ।"" सुदामा ने वह पोटली अपनी बगल में छुपा ली और द्वारका की ओर चले। रास्ते भर सोचते रहे — ""कृष्ण मुझे पहचानेंगे भी?""

सुदामा महल के द्वार पर पहुँचे। द्वारपालों ने उनका नाम पूछा। जैसे ही ""सुदामा"" कहा — भीतर से दौड़ते हुए स्वयं कृष्ण आए। नंगे पाँव, आँखों में अश्रु। उन्होंने सुदामा को गले लगाया जैसे युग की प्रतीक्षा टूट गई हो।

कृष्ण ने सुदामा को अपने महल में बैठाया, उनके पाँव धोए, रुक्मिणी को बुलाया। उन्होंने सुदामा की पोटली देखी — पर कुछ नहीं पूछा। खुद ही उसे खोला। पोहे निकले। कृष्ण के नेत्र चमक उठे। उन्होंने मुट्ठी भर पोहे उठाए और खाने लगे — आनंद से।

सुदामा अपनी बात नहीं कह सके — कभी माँगा नहीं। घर लौटे, मन में सोचते रहे — ""मैंने कुछ माँगा नहीं, कृष्ण ने कुछ दिया नहीं।"" पर घर पहुँचे तो — झोपड़ी की जगह महल था। पत्नी और बच्चे रेशमी वस्त्रों में। सुदामा की आँखों से अश्रु बह निकले। उन्होंने समझा — कृष्ण ने सब दे दिया, बिना माँगे।

सुदामा जब द्वारका से चले, तो उन्हें याद आया — उन्होंने कुछ माँगा ही नहीं। वे रास्ते भर सोचते रहे — ""क्यों नहीं माँगा? कृष्ण ने भी कुछ दिया नहीं।"" पर जब वे अपनी टूटी झोपड़ी के पास पहुँचे — वहाँ महल था। उनकी पत्नी रेशम में थी, बच्चे हँस रहे थे। सुदामा की आँखें भर आईं।

सुदामा ने कभी धन का अहंकार नहीं किया — उन्होंने जो मिला, उसे ईश्वर की देन मानकर स्वीकार किया। और इस कथा का सार यही है: कृष्ण धन से नहीं, प्रेम से खरीदे जाते हैं। जो मित्र के पास खाली हाथ जाता है — केवल मिलने के लिए — उसे कृष्ण खाली हाथ नहीं लौटाते।"
शिव का हलाहल विष पान,"सृष्टि के आरंभ में देवताओं और असुरों ने मिलकर क्षीरसागर का मंथन किया — अमृत प्राप्त करने के लिए। मंदराचल पर्वत मथानी बना, वासुकी नाग रस्सी। मंथन शुरू हुआ — घड़ी-घड़ी हिलते समुद्र से अद्भुत वस्तुएँ निकलने लगीं। पर सबसे पहले जो निकला — वह अमृत नहीं, विष था।

हलाहल विष इतना भयंकर था कि उसकी गंध मात्र से देवता और असुर मूर्छित होने लगे। उसकी एक बूँद से संसार का अंत हो सकता था। देवगण घबराए, असुर भागे। ब्रह्मा जी ने कहा — ""इसे रोकने वाला एकमात्र महादेव ही हो सकता है।"" सब मिलकर कैलाश की ओर दौड़े।

देवी पार्वती के साथ कैलाश पर विराजमान शिव ने सबकी प्रार्थना सुनी। उनके नेत्रों में करुणा थी। वे जानते थे — यह कार्य केवल वे ही कर सकते हैं, और इसकी कीमत चुकानी होगी। पार्वती जी ने उनका हाथ थामा — उनकी आँखों में प्रश्न था। शिव मुस्कुराए — ""लोकसंग्रह के लिए, देवी।"" और वे उठ खड़े हुए।

शिव ने हलाहल विष को अपनी हथेली में लिया। विष भयंकर रूप से जल रहा था — देवता काँप रहे थे। फिर शिव ने उसे अपने मुख में डाला और कण्ठ में रोक लिया — न उगला, न निगला। उनका कण्ठ नीला हो गया। तभी से वे ""नीलकण्ठ"" कहलाए — जिन्होंने संसार का दुख अपने गले में धारण किया।

पार्वती जी ने तत्काल शिव के कण्ठ को अपने दोनों हाथों से थाम लिया — ताकि विष नीचे न उतरे। उनका यह स्पर्श शिव की रक्षा बन गया। जहाँ शक्ति और शिव मिलते हैं — वहाँ विनाश भी रुक जाता है। देवताओं ने प्रणाम किया। अमृत मंथन फिर प्रारंभ हुआ — अब बिना भय के।

यह कथा केवल पौराणिक नहीं है — यह जीवन का सत्य है। हर महान आत्मा को संसार का कुछ दुख अपने भीतर रखना पड़ता है। जो व्यक्ति दूसरों की पीड़ा को अपने हृदय में धारण करके भी मुस्कुराते रहते हैं — वे शिव के अंश हैं। नीलकण्ठ का नाम सुनते ही याद आता है — सबसे बड़ा त्याग, सबसे गहरी करुणा।"
गणेश और समर्पित किसान,"एक गाँव में एक किसान था — गोपाल। गरीब, सरल, पर गणेश का परम भक्त। हर सुबह वह खेत जाने से पहले गणेश मंदिर जाता, एक दूर्वा और एक मोदक चढ़ाता, और कहता: ""गणेश जी, आज का दिन आपके हाथों में।"" फिर काम पर जाता। उसके पड़ोसी उस पर हँसते थे।

एक वर्ष भयंकर सूखा पड़ा। सभी किसानों की फ़सल जल गई। पर गोपाल के खेत में एक छोटे से स्रोत से पानी आता रहा जिसे किसी ने कभी नहीं देखा था। उसकी फ़सल बची। पड़ोसियों ने सोचा — भाग्य। पर गोपाल जानता था।

दूसरे वर्ष एक व्यापारी गाँव से गुज़रा। उसने गोपाल की फ़सल देखी और बड़ी रकम का प्रस्ताव किया। गोपाल ने उचित मूल्य माँगा — न अधिक, न कम। व्यापारी ने मान लिया। उस धन से गोपाल ने गाँव में एक छोटा कुआँ खुदवाया — सबके लिए।

वर्षों बाद गोपाल का एकमात्र पुत्र बीमार पड़ गया। वैद्य ने हाथ खड़े किए। गोपाल मंदिर गया। इस बार उसके पास दूर्वा भी नहीं थी। वह खाली हाथ गया, सिर झुकाया, और बोला: ""गणेश जी, आप जानते हैं।"" उस रात उसके बेटे को किसी अज्ञात वनस्पति से बनी दवाई मिली — एक अजनबी ने दी।

तीन दिन में बेटा ठीक हो गया। जब गोपाल उस अजनबी को धन्यवाद देने गया — वह जा चुका था। किसी ने उसे देखा था, किसी ने नहीं। गोपाल मंदिर गया। उसने कुछ नहीं माँगा, कुछ नहीं कहा। बस बैठा रहा — गणेश जी के पास। लंबे समय तक।

गोपाल की कथा किसी ग्रंथ में नहीं है। पर हर गाँव में एक गोपाल है। गणेश जी की भक्ति में कोई बड़ा कर्मकांड नहीं चाहिए — केवल प्रतिदिन का स्मरण, केवल हृदय का विश्वास, केवल यह भाव: ""आज का दिन आपके हाथों में।"" वे विघ्नहर्ता हैं — पर उन तक पहुँचने का मार्ग बड़ा सरल है।"
दुर्गा और शुंभ-निशुंभ का अहंकार,"दो भाई — शुंभ और निशुंभ — घोर तपस्या और रणनीति से असुर जगत में उठे। उन्होंने देवताओं को समझा, उनकी कमज़ोरियाँ पहचानीं, और जब आक्रमण किया — इंद्र पकड़ा गया। देवता तीसरी बार बेघर हुए। वे हिमालय गए और देवी को पुकारा। पार्वती के शरीर से एक सुनहरी देवी प्रकट हुईं — अंबिका। यही देवी थीं, नए रूप में। शुंभ ने सुना और दूत भेजा: मुझसे विवाह करो।

देवी का जवाब अपमान नहीं था — चुनौती थी। उन्होंने कहा: जो मुझे युद्ध में हरा दे, उसी से विवाह करूँगी। शुंभ क्रोधित हुआ। उसने धूम्रलोचन को भेजा साठ हज़ार सेना के साथ। देवी ने एक साँस में सारी सेना राख कर दी। फिर चंड-मुंड गए। फिर रक्तबीज। एक-एक करके सब गिरे। शुंभ को अब समझ आया — उसे स्वयं जाना होगा।

निशुंभ पहले गिरा। उसके गिरते ही शुंभ का क्रोध चरम पर पहुँचा। वह आकाश में उड़ा और सीधे देवी पर टूट पड़ा — पर्वत फेंके, दिव्यास्त्र चलाए। देवी ने हर अस्त्र का उत्तर दिया। आकाश बिजली और अग्नि का रंगमंच बन गया। वह हँसती हुई, नाचती हुई, हर वार को पार करती रहीं। फिर शुंभ का एक प्रहार लगा। देवगण चुप हो गए। पर उन्होंने केवल एक बार सिर हिलाया — और हँसी लौट आई, और गहरी।

युद्ध का अंतिम चरण। शुंभ ने एक आखिरी चाल चली — सभी देवियों को वापस बुला लिया देवी के शरीर में। अब केवल एक देवी अकेली खड़ी थी। ""अब अकेले लड़ो!"" वह चीखा। देवी ने शांत दृष्टि से देखा। ""वे मुझसे अलग कब थीं?"" उन्होंने पूछा। ""काली, योद्धा देवियाँ, सेनाएँ — सब मैं ही थी। एक ही है। हमेशा केवल एक।"" फिर उन्होंने त्रिशूल उठाया।

शुंभ आगे बढ़ा। देवी ने त्रिशूल से प्रहार किया, वह गिरा। जैसे ही वह उठने लगा, देवी ने छलाँग लगाई और भाला छाती में उतार दिया। अंतिम साँस में शुंभ ने पूछा: ""तुमने अकेले जीता? पर देवों के अस्त्र, देवियाँ, सेनाएँ — यह अकेला कैसे हुआ?"" देवी पास झुकीं। ""क्योंकि सब उसी एक शक्ति के रूप हैं जो सर्वत्र है। जिस क्षण तुमने शक्ति को अपनी व्यक्तिगत शक्ति मानी — तुम हार चुके थे।""

शुंभ की पराजय सबसे गहरी दार्शनिक विजय थी। वह बुरा था इसलिए नहीं मारा गया — बल्कि इसलिए कि उसने वह आत्मिक भूल की जो सबसे घातक है: शक्ति को व्यक्तिगत मानना। देवी महात्म्य का सार यही है: सारी शक्ति एक ही स्रोत से बहती है। सूरज अपनी रोशनी नहीं बनाता — वह चैनल है। गर्व बुरा नहीं है क्योंकि वह अप्रिय है — बुरा है क्योंकि वह झूठ है।"
अर्धनारीश्वर - दिव्य मिलन,"एक बार ऋषि भृंगी ने निर्णय किया कि वे केवल शिव की परिक्रमा करेंगे — पार्वती की नहीं। उनका मत था कि पुरुष तत्त्व श्रेष्ठ है। उन्होंने मधुमक्खी का रूप लिया और शिव के चारों ओर केवल उनकी परिक्रमा की — पार्वती को छोड़कर। पार्वती रुष्ट हुईं।

पार्वती ने शिव को अपनी ओर खींचा और उनके आधे शरीर में समा गईं। शिव का आधा भाग शिव रहा — जटा, तीसरा नेत्र, सर्प। और आधा  भाग पार्वती — केश, आभूषण, सौंदर्य। वे अर्धनारीश्वर बन गए — आधे नर, आधी नारी। भृंगी ने परिक्रमा जारी रखी — पर अब वे केवल शिव वाले आधे की परिक्रमा नहीं कर सकते थे।

पार्वती ने अपनी शक्ति वापस ली — केवल भृंगी से। भृंगी में जो भी स्त्री-तत्त्व था — रक्त, मांस, अस्थि-मज्जा — वह चला गया। भृंगी केवल हड्डियों का ढाँचा रह गए। वे खड़े भी न हो सके। तब उन्हें समझ आई — उनके शरीर का आधार ही माता से था।

अर्धनारीश्वर रूप का दार्शनिक अर्थ गहरा है। शिव = चेतना (पुरुष तत्त्व)। पार्वती = शक्ति (प्रकृति तत्त्व)। दोनों के बिना सृष्टि असंभव है। चेतना बिना शक्ति के निर्जीव है। शक्ति बिना चेतना के अंधी है। जब दोनों मिलते हैं — सृष्टि होती है, जीवन होता है।

पार्वती ने भृंगी को क्षमा किया। उन्हें तीसरा पैर दिया — स्थिरता के लिए। भृंगी ने तब पूरी परिक्रमा की — शिव और पार्वती दोनों की। उनकी भक्ति अब पूर्ण थी। यह कथा सिखाती है कि सच्ची भक्ति में दोनों तत्त्वों का सम्मान है — न केवल एक का।

अर्धनारीश्वर की मूर्ति आज भी हर शिव मंदिर में मिलती है। यह केवल धार्मिक प्रतीक नहीं — यह हमारे भीतर की पूर्णता का संदेश है। हर मनुष्य में शिव और शक्ति दोनों हैं — तर्क और अनुभूति, स्थिरता और गतिशीलता, ज्ञान और प्रेम। जब हम अपने भीतर दोनों को स्वीकारते हैं — तब हम अर्धनारीश्वर की पूजा सच्चे अर्थों में करते हैं।"
नंदी - परम भक्त की कथा,"नंदी का जन्म ऋषि शिलाद के तपस्या-फल के रूप में हुआ था। शिलाद निःसंतान थे और उन्होंने शिव से पुत्र माँगा जो मृत्यु के भय से मुक्त हो। एक दिन जब वे खेत जोत रहे थे, तो भूमि से एक बालक निकला — दिव्य, तेजस्वी। यही नंदी थे।

नंदी बड़े हुए — बुद्धिमान, शक्तिशाली, पराक्रमी। पर एक दिन देवताओं के वैद्य मित्र-वरुण ने उनके पिता शिलाद को बताया कि नंदी की आयु बहुत कम है — वे अल्पायु हैं। शिलाद रो पड़े। नंदी ने यह सुना और मुस्कुराए। ""पिताजी, रोइए मत। जो भी समय है, मैं उसे शिव की भक्ति में लगाऊँगा।""

नंदी ने शिव वन में जाकर घोर तपस्या की। एकाग्र मन, अनवरत जप, निश्छल प्रेम। उनकी भक्ति में कोई माँग नहीं थी — न लंबी आयु, न शक्ति, न वरदान। केवल एक इच्छा: ""शिव के चरणों में रहना।"" उनकी साधना से कैलाश कंपित हो उठा।

शिव प्रकट हुए — नंदी के सामने। नंदी ने आँखें खोलीं और जो देखा उसे शब्दों में नहीं बाँधा जा सकता। शिव ने कहा: ""नंदी, तुम्हारी भक्ति अद्वितीय है। माँगो — क्या चाहते हो?"" नंदी ने कहा: ""प्रभु, केवल यही — कि आपके द्वार पर सदा खड़ा रहूँ। आपका द्वारपाल बनूँ।"" शिव के नेत्रों में अश्रु थे।

शिव ने नंदी को आशीर्वाद दिया — उन्हें अमर, अजर, और वृषभ स्वरूप प्रदान किया। नंदी कैलाश के द्वारपाल बने — शिव के सबसे प्रिय गण। वे केवल द्वारपाल नहीं — शिव के परम मित्र, परम भक्त, परम सेवक बने। आज भी हर शिव मंदिर में नंदी शिवलिंग की ओर मुख किए बैठे हैं।

जब भी आप किसी शिव मंदिर जाएँ — पहले नंदी के कान में अपनी इच्छा कहें। परंपरा है कि नंदी शिव के सबसे विश्वासपात्र हैं — आपकी बात शिव तक पहुँचाते हैं। नंदी का जीवन सिखाता है: जब हम बिना शर्त के प्रेम करते हैं — तो भगवान खुद हमारे जीवन को अमर बना देते हैं।"
रास लीला — प्रेम का दिव्य नृत्य,"शरद पूर्णिमा की रात — वर्ष की सबसे उज्ज्वल रात। यमुना के तट पर चाँदनी बिछी थी। कृष्ण ने बाँसुरी उठाई और एक ऐसी धुन बजाई जो केवल प्रेमी हृदय सुन सकता था। गोपियाँ अपने-अपने घरों में थीं — कुछ सो रही थीं, कुछ काम कर रही थीं। पर उस धुन ने सबको खींच लिया।

जब गोपियाँ यमुना तट पहुँचीं, उन्होंने कृष्ण को देखा — चाँदनी में, मुस्कुराते हुए। कृष्ण ने उनसे कहा — ""जाओ, घर लौट जाओ। तुम्हारे धर्म यहाँ नहीं हैं।"" पर गोपियाँ बोलीं — ""प्रभु, जब आपकी बाँसुरी बुलाती है, तो घर और धर्म सब आप ही हो जाते हैं।""

रास लीला आरंभ हुई। कृष्ण ने एक अद्भुत चमत्कार किया — प्रत्येक गोपी को लगा कि कृष्ण केवल उनके साथ नृत्य कर रहे हैं। सबके साथ, फिर भी प्रत्येक के साथ अकेले। वृत्त बना, संगीत था, चाँदनी थी — और वह रात समय से बाहर थी।

जब अभिमान आया — जब कुछ गोपियों ने सोचा ""हम धन्य हैं, हमसे बड़ा भक्त कौन?"" — कृष्ण अदृश्य हो गए। रास टूट गया। गोपियाँ रोने लगीं, खोजने लगीं। तब उन्हें समझ आया — कृष्ण की उपस्थिति अहंकार के साथ नहीं रहती। जैसे ही अहं गया, कृष्ण लौटे।

रास लीला का गहरा अर्थ है — यह भौतिक प्रेम नहीं, आत्मा का ईश्वर से मिलन है। गोपियाँ जीवात्माएँ हैं, कृष्ण परमात्मा हैं। यह नृत्य वह अवस्था है जब जीव अपने अहंकार को, अपनी अलगता को भूलकर परमात्मा में समाहित हो जाता है। शरद पूर्णिमा की वह रात आज भी हर ध्यान में जीवित है।

रास लीला केवल एक नृत्य नहीं — यह आत्मा और परमात्मा के मिलन का रूपक है। गोपियाँ जीवात्माएँ हैं। कृष्ण परमात्मा हैं। रात्रि संसार की माया है। बंसी की ध्वनि ईश्वर की पुकार है। और यमुना तट वह स्थान है जहाँ आत्मा अपने स्रोत से मिलती है। प्रत्येक आत्मा को यह पुकार सुनाई देती है — कोई-कोई उठता है।

रास लीला वृंदावन की घटना भले हो — पर उसकी अनुभूति हर युग में, हर देश में होती है। जब भी कोई आत्मा संसार की बाधाओं को पार करके ईश्वर की ओर बढ़ती है — वहाँ रास होता है। मीरा ने रास किया। तुलसीदास ने रास किया। जब भी आप मंदिर में खड़े होते हैं और कुछ पलों के लिए सब भूल जाते हैं — आप रास में होते हैं।"
काली का जन्म,"महिषासुर के वध के बाद असुरों ने हार नहीं मानी। चंड और मुंड नाम के दो असुर उठे। देवताओं ने पुनः देवी को पुकारा। देवी के भ्रू-मध्य से काली प्रकट हुईं — कालिमा जैसी काली, खप्परों की माला पहने, लाल जीभ लपलपाती, एक हाथ में खड्ग, दूसरे में कटा हुआ सिर। जहाँ दुर्गा राजसी थीं, काली अदम्य थीं। वे क्रोध से नहीं जन्मीं — वे आवश्यकता से जन्मीं।

काली ने चंड-मुंड की सेना को तूफान की तरह बहा दिया। जब वे स्वयं आए, काली ने दोनों के बाल पकड़े और एक ही झटके में सिर काट दिए। उन्हें दुर्गा के चरणों में रख दिया। इसी से उनका नाम चामुंडा पड़ा। पर युद्ध अभी खत्म नहीं हुआ था। सबसे भयंकर असुर अभी बाकी था — रक्तबीज। उसके रक्त की हर बूँद जो धरती पर गिरती, हज़ार रक्तबीज जन्म लेते। वह सदियों से अजेय था।

देवताओं ने सारे अस्त्र चलाए। हर घाव से दस और रक्तबीज जन्मे। रणक्षेत्र हज़ारों रक्तबीजों से भर गया। देवता पीछे हटने लगे। तब दुर्गा ने काली को देखा। ""मुँह खोलो,"" उन्होंने कहा। काली ने मुँह खोला — आकाश जितना विशाल — और दुर्गा ने देवताओं को घाव देते रहने को कहा। पर अब हर बूँद रक्त, धरती पर गिरने से पहले, काली की जीभ पर आ गिरी। कोई नया असुर नहीं जन्मा।

रक्तबीज क्रोधित हुआ — उसकी शक्ति घट रही थी। उसने गदा चलाई, चीखा, भागा। पर काली अब उसकी पहुँच से परे थीं। जब उसकी अंतिम बूँद पी ली गई और हज़ार रूप ढह गए, काली अकेली रणक्षेत्र में खड़ी थीं। फिर वे नाचने लगीं। उनके पैरों से पृथ्वी हिल उठी। देवता देखते रहे — पर भय भी था। नृत्य तेज़ होता जा रहा था, खतरनाक होता जा रहा था।

काली का नृत्य प्रलय की ताण्डव बनता जा रहा था। धरती दरकने लगी, समुद्र उफनने लगे। देवता शिव के पास भागे। शिव काली के मार्ग में लेट गए। नृत्य के आवेश में काली का पैर शिव की छाती पर पड़ा। वह रुक गईं। नीचे देखा — पति थे। उनकी जीभ लज्जा से भीतर चली गई। विनाश का नृत्य थम गया। यहीं से वह चित्र बना — काली शिव पर खड़ी — प्रभुत्व का नहीं, प्रेम का प्रतीक।

काली की पूजा पूरे भारत में होती है — विशेषकर बंगाल, असम, केरल में। वे खोपड़ियाँ पहनती हैं क्योंकि उन्होंने मृत्यु को जीत लिया है। उनकी जीभ लाल है क्योंकि उन्होंने असुरों का रक्त पिया — ताकि आपको न पीना पड़े। वे शिव पर इसलिए खड़ी हैं क्योंकि शक्ति के बिना शिव शव हैं। सबसे भयंकर प्रेम भी प्रेम है। सबसे भयावह रक्षक भी माँ है। यही काली हैं। यही सत्य है।"
नवरात्रि — देवी की नौ रातें,"नवरात्रि से पहले एक प्रार्थना थी। ऋषि मार्कण्डेय ने गुरु से पूछा: अच्छे लोगों की पूजा के बावजूद संसार दुखी क्यों है? गुरु ने कहा: क्योंकि हम सही समय पर सही शक्ति नहीं पुकारते। शक्ति एक नहीं है — नौ हैं। एक ही दिव्य माँ के नौ चेहरे, हर एक अलग प्रकार की शक्ति का प्रतीक। इसीलिए नवरात्रि है — मनोरंजन का पर्व नहीं, एक पाठशाला है। नौ रातें। नौ शिक्षक। नौ सबक।

पहली रात: शैलपुत्री — पर्वत की पुत्री। वे जड़ों की शिक्षिका हैं। उठने से पहले जानो — तुम कहाँ खड़े हो। दूसरी रात: ब्रह्मचारिणी — साधिका। वे नंगे पैर चलती हैं, माला और कमंडल लिए। वे सिखाती हैं: ज्ञान दिया नहीं जाता — अर्जित किया जाता है। वे वह रूप हैं जो तब भी चलती रहीं जब सब कुछ रुकने को कहता था।

तीसरी रात: चंद्रघंटा — आधा चंद्रमा धारण किए, युद्ध के लिए तैयार। वे साहस सिखाती हैं। चौथी रात: कूष्मांडा — ब्रह्मांड की रचयित्री। उनकी मुस्कान से सृष्टि बनी। वे सिखाती हैं: आनंद रचना की शक्ति है। पाँचवीं रात: स्कंदमाता — कार्तिकेय की माँ। वे शिशु को और अस्त्र को एक साथ थामती हैं — क्योंकि सबसे शक्तिशाली योद्धा भी सबसे कोमल माता होती है।

छठी रात: कात्यायनी — सबसे उग्र योद्धा रूप। वे सिखाती हैं: न्यायोचित क्रोध भी धर्म है। सातवीं रात: कालरात्रि — सबसे काली। काले शरीर, बिखरे केश, अग्नि श्वास — वे अज्ञान की विनाशिका हैं। वे सिखाती हैं: कभी-कभी अंधेरे में उतरना पड़ता है — भागने के लिए नहीं, बल्कि इतना परिचित होने के लिए कि वह शक्ति खो दे।

आठवीं रात: महागौरी — परम शुद्ध, बर्फ जैसी श्वेत। पार्वती की तपस्या के बाद शिव ने गंगा में स्नान कराया — सारा अंधकार छँट गया। वे सिखाती हैं: चाहे कितना अंधकार चला हो — प्रकाश हमेशा वापस आ सकता है। नवीं रात: सिद्धिदात्री — अठारह सिद्धियों की दात्री। वे सिखाती हैं: सारी साधना का अंतिम फल है — देने की क्षमता। शक्ति को रोकने के लिए नहीं, दूसरों का स्रोत बनने के लिए।

दसवें दिन — विजयदशमी — हम विजय मनाते हैं। राम की नहीं, दुर्गा की नहीं — भीतर की विजय। नौ सबक, नौ शक्तियाँ जागृत। नवरात्रि शुरू करने वाला और समाप्त करने वाला व्यक्ति एक नहीं होता। क्योंकि नौ रातों में नौ शिक्षकों ने पूछा — क्या तुम जड़ हो? क्या तुम साहसी हो? क्या तुम लौट सकते हो प्रकाश में? यदि हाँ — तो विजयदशमी तुम्हारी है।"
देवी पूजा का उद्गम,"महिषासुर से बहुत पहले, एक प्रथम विनम्रता थी। इंद्र अपने स्वर्गलोक में बैठे थे — गर्वित, विजयी। एक युद्ध जीतकर लौटे थे। अप्सराएँ नाच रही थीं। तभी एक घास का तिनका सभा में आ तैरा — सोने की हवा में हरा, सरल। ""इसे जला दो,"" इंद्र ने अग्नि को आदेश दिया। अग्नि आगे बढ़े — और तिनका नहीं जला। फिर प्रयास किया। कुछ नहीं। ब्रह्मांड में कुछ बदल गया था। कोई उपस्थित था जिसके सामने सारी शक्तियाँ अर्थहीन हो गई थीं।

वायु को भेजा गया। वह पर्वत हिला सकते थे। उन्होंने तिनके पर पूरी शक्ति से वायु चलाई — तिनका धीरे से हिला, जैसे हँस रहा हो। इंद्र स्वयं उठे — देवराज, वज्रधारी। हाथ बढ़ाया — और तिनका अदृश्य हो गया। उसकी जगह एक स्त्री थी — दीप्तिमान, शांत, उनकी आँखों में प्रेम और विनोद। ""तुम कौन हो?"" इंद्र ने पूछा। उन्होंने मुस्कुराया। फिर अदृश्य हो गईं — केवल सुगंध छोड़कर।

देवता ब्रह्मा के पास गए। ब्रह्मा ने आँखें बंद कीं, फिर खोलीं — आश्चर्य से भरी। ""वे उमा थीं,"" उन्होंने कहा। ""हिमालय की पुत्री। शक्ति स्वयं। जो जीत आज तुम्हारी लगी — वह उनकी थी। हर युद्ध में वे अदृश्य लड़ीं। जो बिजली इंद्र ने चलाई — उसमें उनकी शक्ति थी।"" देवता स्तब्ध हो गए। जितना गर्व था, टूट गया — जैसे टूटे बर्तन से पानी।

इंद्र और देवताओं ने एक निर्णय लिया: वे उन्हें ठीक से खोजेंगे। लेन-देन के लिए नहीं — बल्कि उस बच्चे की तरह जो माँ को पहचान जाए। वे हिमालय गए। उमा ध्यान में बैठी थीं। उन्होंने फूल, फल, प्रार्थनाएँ अर्पित कीं — अपूर्ण, हार्दिक। उमा ने आँखें खोलीं। ""तुम्हारे पास मैं हमेशा से थी,"" उन्होंने कहा। ""तुम जानते नहीं थे। अब जानते हो — इस ज्ञान से क्या करोगे?""

उस दिन से देवताओं ने एक प्रथा बनाई: किसी भी कार्य से पहले — किसी युद्ध से, किसी महान उद्यम से — पहले शक्ति का आह्वान। यही कारण है कि हर हिंदू पूजा में देवी का आह्वान होता है। इसलिए नहीं कि वे पूजा माँगती हैं — बल्कि इसलिए कि आह्वान का कार्य ही आह्वानकर्ता को बदल देता है। जब आप अहंकार से पहले एक बड़ी शक्ति को स्वीकार करते हैं — आप बेहतर माध्यम बन जाते हैं।

यही देवी पूजा का उद्गम है — भय में नहीं, लेन-देन में नहीं — बल्कि उस क्षण में जब सृष्टि के सबसे शक्तिशाली प्राणियों ने कहा: हम अकेले नहीं कर सकते। शरणागति — पूर्ण समर्पण — यह पहला और सबसे उन्नत आराधना का कार्य है। देवी को फूल नहीं चाहिए — उन्हें आपका सत्य चाहिए।"
